environment,metric,n_seeds,mean,sd,ci95_lower,ci95_upper
adversarial,violation_auc,30,0.009898333333333332,0.00026535055971342884,0.009804081249999997,0.009991252083333336
adversarial,utility_loss_auc,30,0.01073566666666667,0.004573461062691364,0.009829331250000002,0.012446929166666667
adversarial,false_intervention_auc,30,0.0,0.0,0.0,0.0
monitoring_shift,violation_auc,30,0.019989666666666673,0.0003461616707534939,0.01986840625,0.020109416666666664
monitoring_shift,utility_loss_auc,30,0.019989666666666673,0.0003461616707534938,0.01986699791666667,0.020106258333333335
monitoring_shift,false_intervention_auc,30,0.009736166666666664,0.0007018711854176238,0.009455331250000002,0.00994883333333333
truth_proxy,violation_auc,30,0.019989666666666673,0.0003461616707534939,0.019867664583333337,0.020111333333333332
truth_proxy,utility_loss_auc,30,0.019989666666666673,0.0003461616707534938,0.01986591666666667,0.020111002083333336
truth_proxy,false_intervention_auc,30,0.010010333333333335,0.0003477276811383949,0.009885077083333334,0.010132508333333332
