Environment,Agent,Episodes,PrimaryMetricAcrossPerturbations_Mean,PrimaryMetricAcrossPerturbations_Std,MeanUtilityAcrossPerturbations_Mean
adversarial,reward,10000,0.4998777777777778,0.38525810088341594,4.635111111111112
adversarial,soft,10000,0.20465,0.221216583414937,3.9791388888888886
adversarial,constrained,10000,0.0,0.0,3.4871111111111106
monitoring,reward,10000,0.14177430300192112,0.04958567067182203,4.635111111111112
monitoring,soft,10000,0.10223204674792087,0.0182041104222302,3.9791388888888886
monitoring,constrained,10000,0.0,0.0,3.4871111111111106
truth_reward,reward,10000,0.49165555555555557,0.37624536655200397,4.605222222222221
truth_reward,soft,10000,0.20688333333333334,0.23231734976105425,3.9966944444444437
truth_reward,constrained,10000,0.0,0.0,3.4888333333333335
